0,Complaint 2682743 is a Credit card or prepaid card complaint from the state of TX.
1,Complaint 1370414 is a Credit card complaint from the state of NY.
2,"Complaint 2906263 is a Credit reporting, credit repair services, or other personal consumer reports complaint from the state of CO."
3,"Complaint 2843493 is a Credit reporting, credit repair services, or other personal consumer reports complaint from the state of AL."
4,"Complaint 2700953 is a Credit reporting, credit repair services, or other personal consumer reports complaint from the state of KY."
